No.,Station Name
1,BANSPANI
2,JAROLI
3,JAROLI A/C
4,NAYAGHARH
5,PROJANPUR
6,GOALDIH
7,KENDUJHAR GARH
8,NARANPUR
9,BASANTPUR
10,SITABINJI
11,NILAKANTESWAR
12,HARICHANDANPUR
13,CHILLIKIDARA
14,SAGADAPETA
15,TANGIRIAPAL
16,BAGHUAPAL
17,TOMKA
18,TOMKA 'B'
19,SUKINDA
20,RANGAMATIA
21,TANGARIA
22,BHUBAN Rd
23,DAITARI
24,DUBURI
25,DHENKANAL
26,JORANDA
27,RAJATGARH
28,MACHAPUR
29,GURUDIJHATIA
30,CHARBATIA
31,SALAGOAN
32,DHANMANDAL
33,TOMKA 'A'
34,KORAI
35,JAJPUR KEONJHAR RD.
36,JAKHAPURA
37,JENAPUR
38,NEW GARHMADHUPUR
39,HARIDASPUR
40,BYREE
41,KAPILAS RD.
42,NERGUNDI
43,BHADRAK
44,RANDIA BAUDPUR
45,KENDUAPADA
46,MANJURI RD.
47,BAITARANI RD.
48,CHADIKHOL RD
49,UDAYAGIRI RATNAGIRI
50,LALITGIRI
51,BAJIPARA
52,KENDRAPARA
53,MARSAGHAI RD
54,KAMALANGA
55,PORJANG
56,MUKTAPOSI
57,KAMAKHYA
58,NAGAR
59,JUNCTION BLOCK CABIN
60,TALCHER
61,TALCHER TERMAL
